series_key,time_period,time_period_start,time_period_end,obs_value,updated_at,dataset_id,title_en,title_long_en,freq,ref_area,currency,provider_fm,instrument_fm,provider_fm_id,data_type_fm,unit,decimals,unit_mult,collection,time_format,source_agency,obs_status,obs_conf
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2005-05,2005-05-01,2005-05-31,3.3401,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2005-04,2005-04-01,2005-04-30,3.5025,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2005-03,2005-03-01,2005-03-31,3.716,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2005-02,2005-02-01,2005-02-28,3.5791,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2005-01,2005-01-01,2005-01-31,3.5773,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2004-12,2004-12-01,2004-12-31,3.6479,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2004-10,2004-10-01,2004-10-31,3.9027,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2004-09,2004-09-01,2004-09-30,4.0344,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2004-08,2004-08-01,2004-08-31,4.0909,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2004-04,2004-04-01,2004-04-30,4.1324,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2004-03,2004-03-01,2004-03-31,3.9354,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2004-02,2004-02-01,2004-02-29,4.1238,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
