YEAR_MONTH,spread,residuals
2003-04-01,0.016237,0.0013304897800255674
2003-05-01,0.014398999999999999,-0.0016100714000499422
2003-06-01,0.014955,0.000744071855476933
2003-07-01,0.018764000000000003,0.00400912862910428
2003-08-01,0.020134000000000006,0.0016527262023894491
2003-09-01,0.020437999999999998,0.0006164344395647274
2003-10-01,0.021128000000000004,0.0010090266323394062
2003-11-01,0.022488,0.0016939891751503074
2003-12-01,0.021885000000000005,-0.0002395194361209281
2004-01-01,0.020968999999999998,-0.0005655953974469975
2004-02-01,0.020532,-0.00010645871514959257
2004-03-01,0.019066,-0.0011449349922631746
2004-04-01,0.020836,0.002059275025474802
2004-05-01,0.022010999999999996,0.0015026572005114869
2004-06-01,0.022504000000000007,0.0008461368929793579
2004-07-01,0.021333999999999995,-0.0008061724786064886
2004-08-01,0.019766,-0.0012295437468510632
2004-09-01,0.019158,-0.0003035455832677489
2004-10-01,0.017554,-0.0013127299688170772
2004-11-01,0.016439000000000002,-0.0008585124596412821
2004-12-01,0.014746999999999996,-0.00145969106142994
2005-01-01,0.014318999999999998,-0.00023238181858364904
2005-02-01,0.014406999999999996,0.00027433706790465015
2005-03-01,0.015788,0.0015692453342341633
2005-04-01,0.013653000000000002,-0.0019168078952993585
2005-05-01,0.012145,-0.0013361050386345788
2005-06-01,0.010854999999999997,-0.0011508057843720512
2005-07-01,0.011119,0.0003752207660249456
2005-08-01,0.011150000000000007,0.00014794556501347006
2005-09-01,0.009499,-0.0015333822048022843
2005-10-01,0.010707000000000001,0.001289816116674801
2005-11-01,0.01109,0.0004910114090162215
2005-12-01,0.008885000000000004,-0.002088683295481482
2006-01-01,0.008295000000000007,-0.0005214983779424434
2006-02-01,0.008858000000000005,0.0006187075637119881
2006-03-01,0.009388,0.0005979161312519039
2006-04-01,0.011229,0.0019204090989182604
2006-05-01,0.010915000000000001,-0.00019466910207464883
2006-06-01,0.010040999999999994,-0.0007614781432958555
2006-07-01,0.009103000000000003,-0.0008444306975229961
2006-08-01,0.006581999999999998,-0.0024477710818079906
2006-09-01,0.004185999999999995,-0.0023774385751794518
2006-10-01,0.0029740000000000044,-0.0012453954629692166
2006-11-01,0.0013169999999999987,-0.0017166774946892694
2006-12-01,0.0011000000000000038,-0.0003126092822801022
2007-01-01,0.0027860000000000038,0.0015856851064300842
2007-02-01,0.0023139999999999966,-0.0005357542454841281
2007-03-01,0.0006160000000000054,-0.0017719894921605626
2007-04-01,0.001922000000000007,0.0011951896416177935
2007-05-01,0.0022000000000000006,0.0001955100487352518
2007-06-01,0.004291000000000003,0.0020145384355489326
2007-07-01,0.0029829999999999995,-0.001339118554280613
2007-08-01,-0.0024129999999999985,-0.005455482331087381
2007-09-01,-0.004985999999999997,-0.0027494937528376477
2007-10-01,-0.003962,0.0007917111418689025
2007-11-01,-0.00526999999999999,-0.0015180835772059045
2007-12-01,-0.0060039999999999955,-0.0009724473540126937
2008-01-01,-0.004503999999999987,0.0012456359700116545
2008-02-01,-0.004021999999999998,0.00026016323699188
2008-03-01,-0.007906999999999997,-0.004096384667885124
2008-04-01,-0.007272000000000001,0.0003393697106360387
2008-05-01,-0.006408000000000004,0.0005821395869910085
2008-06-01,-0.0038499999999999993,0.002294875292771637
2008-07-01,-0.0046,-0.0009576548746047238
2008-08-01,-0.007502000000000002,-0.0031259185080948475
2008-09-01,-0.009158999999999994,-0.0019438479272792832
2008-10-01,-0.012137000000000002,-0.003300779714870144
2008-11-01,-0.006647,0.005102642817751753
2008-12-01,-0.002135000000000005,0.004243692614899442
2009-01-01,0.006317,0.008281534633976028
2009-02-01,0.012174,0.005869814940987376
2009-03-01,0.014263000000000001,0.0022288230761229027
2009-04-01,0.017546,0.0034681227166040544
2009-05-01,0.021477999999999997,0.004188314061601486
2009-06-01,0.023208000000000006,0.0020715788707790436
2009-07-01,0.023912999999999997,0.001084093652029574
2009-08-01,0.024755,0.0012363814675102995
2009-09-01,0.025199,0.0008566401067085436
2009-10-01,0.024942,0.00016526817773469468
2009-11-01,0.025627,0.0011016951726587482
2009-12-01,0.025056000000000002,-0.00013945070875360718
2010-01-01,0.026016000000000004,0.001379167244949249
2010-02-01,0.025245000000000004,-0.0003310153041833977
2010-03-01,0.024828,6.2656805887503775e-06
2010-04-01,0.024421,7.22310036824908e-06
2010-05-01,0.021132,-0.0028836026314057253
2010-06-01,0.019002,-0.0017959240854710755
2010-07-01,0.017997,-0.0007171128045830241
2010-08-01,0.014724000000000003,-0.003006906073459782
2010-09-01,0.014679999999999999,0.0001511194299893149
2010-10-01,0.013767000000000001,-0.0007188347031754326
2010-11-01,0.015131,0.0015383670336559224
2010-12-01,0.019398999999999996,0.004471945161763288
2011-01-01,0.020336,0.0012334960787444213
2011-02-01,0.021404999999999993,0.0013858147781847345
2011-03-01,0.020752,-0.00031300412288066265
2011-04-01,0.020376,-5.016432643940513e-05
2011-05-01,0.016846,-0.0032123178280291168
2011-06-01,0.014883,-0.0017218653296559583
2011-07-01,0.011895999999999997,-0.0027884326797107794
2011-08-01,0.0070220000000000005,-0.004740205310690766
2011-09-01,0.0033100000000000004,-0.00368389724353191
2011-10-01,0.004697999999999997,0.0013356086131143079
2011-11-01,0.004627000000000003,-9.329282250663054e-05
2011-12-01,0.005709000000000002,0.0010581675535229658
2012-01-01,0.006423000000000002,0.0007136305554380478
2012-02-01,0.008556999999999999,0.0021491135345206424
2012-03-01,0.010205999999999998,0.0017103889930112064
2012-04-01,0.009798,-0.0003108526981551764
2012-05-01,0.00771,-0.0019997001147738034
