YEAR_MONTH,EURO STOXX 50,log_returns,residuals
2003-03-01,33154.249763763866,-0.04733102061085903,-0.13255702455410112
2003-04-01,38026.93091958025,0.14697003221415095,0.06174402827090886
2003-05-01,38403.53981200577,0.009903741462122806,-0.07532226248111928
2003-06-01,40028.09966678271,0.04230234667766397,-0.04292365726557812
2003-07-01,41773.38737753021,0.04360156303387597,-0.04162444090936612
2003-08-01,42442.18431392053,0.016010119800580647,-0.06921588414266144
2003-09-01,39772.21863032775,-0.06290830047399476,-0.14813430441723685
2003-10-01,42782.36435072363,0.07568463173690132,-0.00954137220634077
2003-11-01,43714.129407668974,0.021779185678165724,-0.06344681826507637
2003-12-01,45879.54443726066,0.04953581505415494,-0.03569018888908715
2004-01-01,47235.042522504606,0.029544715447154424,-0.055681288496087666
2004-02-01,48144.92465310588,0.01926286252770426,-0.06596314141553783
2004-03-01,46432.46133187448,-0.03556892722483318,-0.12079493116807527
2004-04-01,46637.98677077635,0.0044263309117489325,-0.08079967303149316
2004-05-01,46390.93350574427,-0.005297254065582457,-0.09052325800882455
2004-06-01,47586.28835728851,0.0257669928413109,-0.05945901110193119
2004-07-01,46120.87830108917,-0.03079479629082882,-0.11602080023407091
2004-08-01,45349.13214303477,-0.01673311928312038,-0.10195912322636247
2004-09-01,46292.9576764311,0.020812427687026736,-0.06441357625621535
2004-10-01,47761.84910727607,0.03173034311421463,-0.05349566082902746
2004-11-01,48908.09170935495,0.023999125316617187,-0.0612268786266249
2004-12-01,50183.76684736659,0.02608311004225161,-0.05914289390099048
2005-01-01,50812.4036405232,0.012526696034369067,-0.07269930790887302
2005-02-01,52136.569353956336,0.026059891258068957,-0.05916611268517313
2005-03-01,52092.30616203312,-0.0008489855100114463,-0.08607498945325354
2005-04-01,50302.63092455364,-0.03435584579251871,-0.1195818497357608
2005-05-01,53236.932411597954,0.05833296257297804,-0.026893041370264048
2005-06-01,55208.758143929976,0.037038680536417345,-0.048187323406824745
2005-07-01,57765.57915153927,0.04631187321663033,-0.03891413072661176
2005-08-01,56775.87407370568,-0.017133128281069387,-0.10235913222431148
2005-09-01,59641.41841149848,0.05047116199519519,-0.0347548419480469
2005-10-01,57797.284527776406,-0.030920355900967977,-0.11614635984421007
2005-11-01,60079.94728204108,0.03949429065595056,-0.04573171328729153
2005-12-01,62379.76823991645,0.038279343806328914,-0.046946660136913176
2006-01-01,64408.53931466654,0.03252290176756212,-0.05270310217567997
2006-02-01,65875.93872780625,0.022782684233386474,-0.062443319709855616
2006-03-01,67320.08753170537,0.021922250092954565,-0.06330375385028753
2006-04-01,67245.85965086786,-0.001102611175342827,-0.08632861511858492
2006-05-01,64386.40771870493,-0.04252234928676424,-0.12774835323000633
2006-06-01,64859.252996468895,0.007343867976448593,-0.0778821359667935
2006-07-01,65679.73839956234,0.012650244416754441,-0.07257575952648765
2006-08-01,67874.37210921569,0.03341416642530315,-0.05181183751793894
2006-09-01,69497.31436813051,0.023910972705623923,-0.06131503123761817
2006-10-01,71426.49201770528,0.027759024461806225,-0.057466979481435865
2006-11-01,71262.61998309047,-0.002294275274980606,-0.0875202792182227
2006-12-01,73636.54324364649,0.033312320836917264,-0.051913683106324826
2007-01-01,74757.54712289253,0.015223472339499944,-0.07000253160374215
2007-02-01,73140.44859999005,-0.0216312410604399,-0.10685724500368199
2007-03-01,74853.03625603025,0.02341505540123845,-0.06181094854200364
2007-04-01,78998.8561197593,0.055386128219949926,-0.029839875723292164
2007-05-01,82140.17506341076,0.039764106696549506,-0.045461897246692584
2007-06-01,81923.70816133685,-0.0026353352900307936,-0.08786133923327288
2007-07-01,78828.76610135775,-0.03777834438211791,-0.12300434832536
2007-08-01,78552.49415626399,-0.0035047097494654844,-0.08873071369270757
2007-09-01,80146.59073954345,0.020293392341029115,-0.06493261160221298
2007-10-01,82177.3511712339,0.025338076304329826,-0.059887927638912264
2007-11-01,80606.87820162132,-0.019110776232494464,-0.10433678017573655
2007-12-01,80700.12930820113,0.0011568628963221084,-0.08406914104691998
2008-01-01,69641.66708111603,-0.1370315304558165,-0.2222575343990586
2008-02-01,68409.13612174864,-0.01769818286991587,-0.10292418681315796
2008-03-01,66665.83776794151,-0.025483414243158364,-0.11070941818640045
2008-04-01,70718.53085989955,0.06079115222499931,-0.024434851718242778
2008-05-01,71027.25419008305,0.004365522394619958,-0.08086048154862213
2008-06-01,63113.4679464863,-0.11141900857405929,-0.19664501251730138
2008-07-01,63443.94986820511,0.005236313776942669,-0.07998969016629942
2008-08-01,63486.22370318795,0.0006663178296850703,-0.08455968611355702
2008-09-01,57384.36862784106,-0.09611305759615507,-0.18133906153939716
2008-10-01,48969.63743969762,-0.14663803731493674,-0.23186404125817883
2008-11-01,46141.26920972796,-0.05775758976064671,-0.1429835937038888
2008-12-01,46484.433281941616,0.007437248218159276,-0.07778875572508281
2009-01-01,42562.41607400408,-0.08437270137616515,-0.16959870531940724
2009-02-01,37630.55154921172,-0.11587369749445697,-0.20109970143769906
2009-03-01,39458.64624260208,0.048580066412251544,-0.03664593753099055
2009-04-01,45569.70209379818,0.1548724153794767,0.06964641143623462
2009-05-01,47809.46933903616,0.04915035961015857,-0.03607564433308352
2009-06-01,46949.942805987965,-0.017978165098485932,-0.10320416904172802
2009-07-01,51619.46088426916,0.09945737522145914,0.014231371278217053
2009-08-01,54372.10921569603,0.05332578613322414,-0.03190021781001795
2009-09-01,56313.7215894962,0.03570971223679642,-0.04951629170644567
2009-10-01,53818.943651464666,-0.044301421884659575,-0.12952742582790167
