YEAR_MONTH,spread
2019-04-01,0.003192
2019-05-01,0.0022670000000000004
2019-06-01,0.0006090000000000002
2019-07-01,0.00019400000000000016
2019-08-01,-0.002176
2019-09-01,-0.0015150000000000007
2019-10-01,-0.0003370000000000005
2019-11-01,0.0007429999999999997
2019-12-01,0.001226
2020-01-01,0.0011180000000000005
2020-02-01,-0.0002409999999999999
2020-03-01,-0.0010069999999999992
2020-04-01,-0.001829
2020-05-01,-0.002247
2020-06-01,-0.00027800000000000004
2020-07-01,-0.000184000000000001
2020-08-01,0.00011900000000000018
2020-09-01,2.9999999999999645e-05
2020-10-01,-0.0006200000000000008
2020-11-01,-0.0005009999999999997
2020-12-01,-0.00037899999999999913
2021-01-01,0.00014700000000000043
