YEAR_MONTH,EURO STOXX 50,log_returns
2003-03-01,33154.249763763866,-0.04733102061085903
2003-04-01,38026.93091958025,0.14697003221415095
2003-05-01,38403.53981200577,0.009903741462122806
2003-06-01,40028.09966678271,0.04230234667766397
2003-07-01,41773.38737753021,0.04360156303387597
2003-08-01,42442.18431392053,0.016010119800580647
2003-09-01,39772.21863032775,-0.06290830047399476
2003-10-01,42782.36435072363,0.07568463173690132
2003-11-01,43714.129407668974,0.021779185678165724
2003-12-01,45879.54443726066,0.04953581505415494
2004-01-01,47235.042522504606,0.029544715447154424
2004-02-01,48144.92465310588,0.01926286252770426
2004-03-01,46432.46133187448,-0.03556892722483318
2004-04-01,46637.98677077635,0.0044263309117489325
2004-05-01,46390.93350574427,-0.005297254065582457
2004-06-01,47586.28835728851,0.0257669928413109
2004-07-01,46120.87830108917,-0.03079479629082882
2004-08-01,45349.13214303477,-0.01673311928312038
2004-09-01,46292.9576764311,0.020812427687026736
2004-10-01,47761.84910727607,0.03173034311421463
2004-11-01,48908.09170935495,0.023999125316617187
2004-12-01,50183.76684736659,0.02608311004225161
2005-01-01,50812.4036405232,0.012526696034369067
2005-02-01,52136.569353956336,0.026059891258068957
2005-03-01,52092.30616203312,-0.0008489855100114463
2005-04-01,50302.63092455364,-0.03435584579251871
2005-05-01,53236.932411597954,0.05833296257297804
2005-06-01,55208.758143929976,0.037038680536417345
2005-07-01,57765.57915153927,0.04631187321663033
2005-08-01,56775.87407370568,-0.017133128281069387
2005-09-01,59641.41841149848,0.05047116199519519
2005-10-01,57797.284527776406,-0.030920355900967977
2005-11-01,60079.94728204108,0.03949429065595056
2005-12-01,62379.76823991645,0.038279343806328914
2006-01-01,64408.53931466654,0.03252290176756212
2006-02-01,65875.93872780625,0.022782684233386474
2006-03-01,67320.08753170537,0.021922250092954565
2006-04-01,67245.85965086786,-0.001102611175342827
2006-05-01,64386.40771870493,-0.04252234928676424
2006-06-01,64859.252996468895,0.007343867976448593
2006-07-01,65679.73839956234,0.012650244416754441
2006-08-01,67874.37210921569,0.03341416642530315
2006-09-01,69497.31436813051,0.023910972705623923
2006-10-01,71426.49201770528,0.027759024461806225
2006-11-01,71262.61998309047,-0.002294275274980606
2006-12-01,73636.54324364649,0.033312320836917264
2007-01-01,74757.54712289253,0.015223472339499944
2007-02-01,73140.44859999005,-0.0216312410604399
2007-03-01,74853.03625603025,0.02341505540123845
2007-04-01,78998.8561197593,0.055386128219949926
2007-05-01,82140.17506341076,0.039764106696549506
2007-06-01,81923.70816133685,-0.0026353352900307936
2007-07-01,78828.76610135775,-0.03777834438211791
2007-08-01,78552.49415626399,-0.0035047097494654844
2007-09-01,80146.59073954345,0.020293392341029115
2007-10-01,82177.3511712339,0.025338076304329826
2007-11-01,80606.87820162132,-0.019110776232494464
2007-12-01,80700.12930820113,0.0011568628963221084
2008-01-01,69641.66708111603,-0.1370315304558165
2008-02-01,68409.13612174864,-0.01769818286991587
2008-03-01,66665.83776794151,-0.025483414243158364
2008-04-01,70718.53085989955,0.06079115222499931
2008-05-01,71027.25419008305,0.004365522394619958
2008-06-01,63113.4679464863,-0.11141900857405929
2008-07-01,63443.94986820511,0.005236313776942669
2008-08-01,63486.22370318795,0.0006663178296850703
2008-09-01,57384.36862784106,-0.09611305759615507
2008-10-01,48969.63743969762,-0.14663803731493674
2008-11-01,46141.26920972796,-0.05775758976064671
2008-12-01,46484.433281941616,0.007437248218159276
2009-01-01,42562.41607400408,-0.08437270137616515
2009-02-01,37630.55154921172,-0.11587369749445697
2009-03-01,39458.64624260208,0.048580066412251544
2009-04-01,45569.70209379818,0.1548724153794767
2009-05-01,47809.46933903616,0.04915035961015857
2009-06-01,46949.942805987965,-0.017978165098485932
2009-07-01,51619.46088426916,0.09945737522145914
2009-08-01,54372.10921569603,0.05332578613322414
2009-09-01,56313.7215894962,0.03570971223679642
2009-10-01,53818.943651464666,-0.044301421884659575
2009-11-01,55034.44074203015,0.022584930288434002
2009-12-01,58407.64410404337,0.0612925890866205
2010-01-01,54735.66419654847,-0.06286813933042545
2010-02-01,53824.41438305068,-0.016648191391733347
2010-03-01,57852.48918287164,0.0748373177115218
2010-04-01,55735.19172427513,-0.036598208452254144
2010-05-01,52550.60426717064,-0.05713782187847871
2010-06-01,51928.68155368778,-0.011834739526894289
2010-07-01,55355.970557517285,0.0659999233811881
2010-08-01,53025.93624111008,-0.04209183386977555
2010-09-01,55588.103645496594,0.04831913561575374
2010-10-01,57590.5157407868,0.0360223134802411
2010-11-01,53857.86044661063,-0.06481371535161695
2010-12-01,56763.68926244592,0.053953662320393114
2011-01-01,60147.83408763118,0.05961812681939538
2011-02-01,61372.40761923709,0.020359395316243534
2011-03-01,59300.2436962252,-0.03376377110488937
2011-04-01,61605.4110508778,0.038872814190463956
2011-05-01,59552.76769284329,-0.03331920561879387
2011-06-01,59384.16969214701,-0.0028310691043926806
2011-07-01,55731.33734520317,-0.061511887189472536
2011-08-01,48093.82304670016,-0.13704164770344185
2011-09-01,45652.26040682349,-0.050766657445923236
2011-10-01,49989.182871636745,0.09499907400346452
2011-11-01,49006.93788232954,-0.019649150733858423
2011-12-01,48759.2629432536,-0.005053875018076748
2012-01-01,51010.22032128115,0.0461647129622782
2012-02-01,53040.11040931019,0.03979379181748377
2012-03-01,52344.70458049436,-0.013110942331178932
2012-04-01,49092.23156114786,-0.06213566482823352
2012-05-01,45788.65569204755,-0.06729325117326301
2012-06-01,49114.23882230069,0.07262897501554577
2012-07-01,50524.44422340479,0.028712761002086085
