YEAR_MONTH,GDP
2003-03-01,0.72602965495334
2003-04-01,0.625490237121736
2003-05-01,0.558796894629683
2003-06-01,0.537030884723521
2003-07-01,0.563653138365626
2003-08-01,0.639169094792877
2003-09-01,0.762280425141749
2003-10-01,0.927470828124317
2003-11-01,1.12708701311845
2003-12-01,1.35037348696794
2004-01-01,1.57999542728833
2004-02-01,1.79528184551976
2004-03-01,1.9774112634657
2004-04-01,2.11192860854654
2004-05-01,2.1884332267392494
2004-06-01,2.20310243336393
2004-07-01,2.16530899086563
2004-08-01,2.0893061938115
2004-09-01,1.98955991236441
2004-10-01,1.87874742037389
2004-11-01,1.76771125363697
2004-12-01,1.66614798333646
2005-01-01,1.5833132618153
2005-02-01,1.52775114340479
2005-03-01,1.50695390986562
2005-04-01,1.52346850249237
2005-05-01,1.57712922033542
2005-06-01,1.6645261978177
2005-07-01,1.77597193057175
2005-08-01,1.90124123997633
2005-09-01,2.03381616923299
2005-10-01,2.17438160760943
2005-11-01,2.3264688238143094
2005-12-01,2.4916432336405694
2006-01-01,2.66393386691144
2006-02-01,2.83363759225319
2006-03-01,2.99003580237171
2006-04-01,3.12517413938698
2006-05-01,3.2345579810551
2006-06-01,3.31927866577308
2006-07-01,3.38973233938123
2006-08-01,3.45719237356443
2006-09-01,3.52618048265123
2006-10-01,3.58690206699669
2006-11-01,3.6234205120697904
2006-12-01,3.62229574521318
2007-01-01,3.58271914513598
2007-02-01,3.51099489259793
2007-03-01,3.41545796046491
2007-04-01,3.3069671430726895
2007-05-01,3.19473712477285
2007-06-01,3.0835194928437306
2007-07-01,2.9710583508269695
2007-08-01,2.8527472690258695
2007-09-01,2.7262258415041294
2007-10-01,2.5964405841063
2007-11-01,2.46886698161512
2007-12-01,2.34318153551742
2008-01-01,2.2058382779396895
2008-02-01,2.03700223691396
2008-03-01,1.82134878951692
2008-04-01,1.55027321036397
2008-05-01,1.2175069040167
2008-06-01,0.813710289784869
2008-07-01,0.325287916194532
2008-08-01,-0.261883161604496
2008-09-01,-0.953225448243268
2008-10-01,-1.73212805979572
2008-11-01,-2.56342379296248
2008-12-01,-3.39360834298735
2009-01-01,-4.14718630630113
2009-02-01,-4.7486320743456885
2009-03-01,-5.14183274814307
2009-04-01,-5.32042045300037
2009-05-01,-5.30012645609884
2009-06-01,-5.1021064656921515
2009-07-01,-4.74444428392365
2009-08-01,-4.240428650561
2009-09-01,-3.60211129124656
2009-10-01,-2.85176279502784
2009-11-01,-2.0200436523577
2009-12-01,-1.14888749265901
2010-01-01,-0.29880708783481
2010-02-01,0.467081598861266
